glacierb006_iter01_09,   516555.9
glacierb006_iter01_10,   516317.4
glacierb006_iter02_01,not_found
glacierb006_iter02_02,not_found
glacierb006_iter02_03,not_found
glacierb006_iter02_04,not_found
glacierb006_iter02_05,not_found
glacierb006_iter02_06,not_found
glacierb006_iter02_07,not_found
glacierb006_iter02_08,not_found
glacierb006_iter02_09,not_found
glacierb006_iter02_10,not_found
glacierb006_iter03_01,not_found
glacierb006_iter03_02,not_found
glacierb006_iter03_03,not_found
glacierb006_iter03_04,not_found
glacierb006_iter03_05,not_found
glacierb006_iter03_06,not_found
glacierb006_iter03_07,not_found
glacierb006_iter03_08,not_found
glacierb006_iter03_09,not_found
glacierb006_iter03_10,not_found
glacier0007_iter01_01,   514145.2
glacier0007_iter01_02,   513590.4
glacier0007_iter01_03,   513759.0
glacier0007_iter01_04,   511610.0
glacier0007_iter01_05,   511633.6
glacier0007_iter01_06,   516553.2
glacier0007_iter01_07,   517676.5
glacier0007_iter01_08,   519232.9
glacier0007_iter01_09,   519441.2
glacier0007_iter01_10,   519859.6
glacier0007_iter02_01,not_found
glacier0007_iter02_02,not_found
glacier0007_iter02_03,not_found
glacier0007_iter02_04,not_found
glacier0007_iter02_05,not_found
glacier0007_iter02_06,not_found
glacier0007_iter02_07,not_found
glacier0007_iter02_08,not_found
glacier0007_iter02_09,not_found
glacier0007_iter02_10,not_found
glacier0007_iter03_01,not_found
glacier0007_iter03_02,not_found
glacier0007_iter03_03,not_found
glacier0007_iter03_04,not_found
glacier0007_iter03_05,not_found
glacier0007_iter03_06,not_found
glacier0007_iter03_07,not_found
glacier0007_iter03_08,not_found
glacier0007_iter03_09,not_found
glacier0007_iter03_10,not_found
glacier0008_iter01_01,not_found
glacier0008_iter01_02,not_found
glacier0008_iter01_03,not_found
glacier0008_iter01_04,not_found
glacier0008_iter01_05,not_found
glacier0008_iter01_06,not_found
glacier0008_iter01_07,not_found
glacier0008_iter01_08,not_found
glacier0008_iter01_09,not_found
glacier0008_iter01_10,not_found
glacier0008_iter02_01,not_found
glacier0008_iter02_02,not_found
glacier0008_iter02_03,not_found
glacier0008_iter02_04,not_found
glacier0008_iter02_05,not_found
glacier0008_iter02_06,not_found
glacier0008_iter02_07,not_found
glacier0008_iter02_08,not_found
glacier0008_iter02_09,not_found
glacier0008_iter02_10,not_found
glacier0008_iter03_01,not_found
glacier0008_iter03_02,not_found
glacier0008_iter03_03,not_found
glacier0008_iter03_04,not_found
glacier0008_iter03_05,not_found
glacier0008_iter03_06,not_found
glacier0008_iter03_07,not_found
glacier0008_iter03_08,not_found
glacier0008_iter03_09,not_found
glacier0008_iter03_10,not_found
glacier0009_iter01_01,not_found
glacier0009_iter01_02,not_found
glacier0009_iter01_03,not_found
glacier0009_iter01_04,not_found
glacier0009_iter01_05,not_found
glacier0009_iter01_06,not_found
glacier0009_iter01_07,not_found
glacier0009_iter01_08,not_found
glacier0009_iter01_09,not_found
glacier0009_iter01_10,not_found
glacier0009_iter02_01,not_found
glacier0009_iter02_02,not_found
glacier0009_iter02_03,not_found
glacier0009_iter02_04,not_found
glacier0009_iter02_05,not_found
glacier0009_iter02_06,not_found
